gene	rho	p_val
PPP4R2	0.07920545538862514	1.0947152250781343e-06
TSC1	-0.07917871068627974	1.103904992940271e-06
ZFHX3	0.07883514834379032	1.2287595389879351e-06
MET	0.07838878168816577	1.4113747551084752e-06
JAK3	0.07807429402255313	1.555413880487048e-06
JAK1	0.07803585696921045	1.5739582549581447e-06
INPP4A	0.07755616697699243	1.8240210255670817e-06
MAP3K13	-0.07680054483459416	2.296943556852276e-06
EPHA5	0.07663607061598487	2.414467912386146e-06
AMER1	0.07663377868094652	2.4161456772418504e-06
MITF	0.07642789264629858	2.5715118364822404e-06
CDH1	-0.07640215358609335	2.591596244442308e-06
ZRSR2	-0.07639486791336274	2.5973085917453365e-06
KDM5C	0.07606272888560832	2.8709428727897015e-06
BIRC3	-0.07592744161969349	2.9901472294670587e-06
SESN1	0.07574281908146696	3.1605023237308024e-06
SPEN	-0.07512072699131783	3.805710305691308e-06
HGF	0.07473738753838334	4.26424079708166e-06
VHL	-0.07446306541115165	4.624367910954834e-06
DUSP4	0.0741662176423489	5.046825094374291e-06
ICOSLG	-0.07395402645231669	5.371185760610493e-06
IL10	-0.07384164595791842	5.5509604090281e-06
GLI1	-0.07370618238293859	5.77531906446585e-06
CIC	0.07333707408220719	6.431529687352635e-06
IKZF1	0.07216659866406085	9.017415352246409e-06
NSD2	-0.07155233954084773	1.0745525979982267e-05
ALK	-0.07105217302279515	1.2381816687668676e-05
DCUN1D1	-0.07084652958280464	1.3121317180121337e-05
EPHB1	0.07032769349365223	1.5178857957466359e-05
ATRX	0.07028665424541108	1.5354110778769817e-05
U2AF1	0.07004316185399335	1.643423844966878e-05
TRAF7	0.06964998031339438	1.83326615877814e-05
TET2	0.06956871907069254	1.8750243904897752e-05
ERBB3	0.06891795008572121	2.2436761902513926e-05
CCND2	0.06885054938083009	2.2855740742315072e-05
ASXL1	-0.06862946229215174	2.4282938083183272e-05
MAP2K1	0.0684778689962295	2.531007900695096e-05
RAC2	-0.06823282871212476	2.70582325205289e-05
ARID5B	-0.06760258030287457	3.209699447008076e-05
