term	p_rho	p_pval	c_rho	c_pval	rlipp
NEST:25	0.10665543864038331	4.986560097313008e-11	0.13922067973782212	8.31322288326338e-18	0.7660890525835308
NEST:277	0.09943505641264122	9.115769495722728e-10	0.13498261972747214	8.011157318874205e-17	0.7366508118852567
NEST:77	0.12056719125498114	1.0503155669470825e-13	0.1637439125606554	4.135312852439375e-24	0.7363155635500014
NEST:42	0.07562639667809032	3.2726709010158694e-06	0.11683622248544574	5.9013546177386e-13	0.6472855341374211
NEST:12	0.05068072549602986	0.0018352633334045043	0.09642889788645623	2.882733848310201e-09	0.5255761147006549
NEST:49	0.026701186448966418	0.10085301189845076	0.07252290332267208	8.140230741091073e-06	0.3681759172018573
NEST:82	0.027021212664853286	0.09683314313861366	0.07870808113347107	1.2782911415945566e-06	0.34330925459904726
NEST:80	0.00824801774079163	0.6123360300406653	0.13339171085976634	1.8412471508684176e-16	0.06183306059746625
NEST:33	-0.03898334167500076	0.016578315096098972	0.03578475124422543	0.027862947250883983	-1.089384173972468
NEST:9	-0.018214060911684395	0.26309348878508554	0.013242738124806327	0.41585737929311384	-1.3753999165448854
NEST:13	0.05235095869599974	0.0012886713715495274	-0.0045751025840415835	0.7786476106293748	-11.442575927937689
