term	p_rho	p_pval	c_rho	c_pval	rlipp
NEST:64	0.07252290332267208	8.140230741091073e-06	0.00824801774079163	0.6123360300406653	8.792767620273265
NEST:231	0.0860686715616946	1.173153898626259e-07	0.040166969587748	0.013559244452475838	2.1427723436708517
NEST:66	0.051010500976654057	0.0017128573120225527	0.027021212664853286	0.09683314313861366	1.887794660045137
NEST:60	0.24001471423511336	1.242499844892974e-50	0.13644829492951824	3.688914477629119e-17	1.7590158554864457
NEST:212	0.17506923291782767	2.2360701646103768e-27	0.11020849609077221	1.1091866599712476e-11	1.588527555748819
NEST:89	0.334024106571297	4.103379244317604e-99	0.21857432847373848	4.393126964248983e-42	1.5281945913032038
NEST:174	0.11837149723457023	2.919562152813722e-13	0.07907154309239478	1.1414789253749367e-06	1.497017670393173
NEST:39	0.08992030652632378	3.100817940579252e-08	0.061397494588090774	0.0001595988794738488	1.4645598672973466
NEST:14	0.290321573094413	2.9546518526052822e-74	0.19985469631251118	2.492179130657162e-35	1.4526632521081189
NEST:137	0.11917702710979224	2.0108136683448272e-13	0.08720993235810928	7.955146011751978e-08	1.3665533717010212
NEST:153	0.2994099950616609	4.417393919137675e-79	0.22108988265692195	4.843903038044726e-43	1.354245574078452
NEST:168	0.2668214053276461	1.3947725561170803e-62	0.200285515151053	1.771952437094821e-35	1.33220520278969
NEST:29	0.14202608207063136	1.784422872696635e-18	0.11479886654926763	1.4805591360938933e-12	1.237173208584588
NEST:26	0.20067588795533733	1.2999790054757163e-35	0.16566176082744596	1.200162889114963e-24	1.2113591389648588
NEST:256	0.2150593989319336	9.136949808050981e-41	0.18300354430366503	8.403747670837497e-30	1.1751652119648406
NEST:52	0.3393845717142083	1.8570122661970108e-102	0.29110612618847514	1.1505153106001106e-74	1.1658448283375376
NEST:61	0.24915218232910485	1.5170408993373253e-54	0.21612256714413206	3.6693199517739396e-41	1.1528281642284277
NEST:70	0.4984774062347206	1.7928145010689553e-236	0.43796295197265095	7.97337526836269e-177	1.1381725417401254
NEST:1	0.8518520031020516	0.0	0.7672966876676923	0.0	1.1101989840349464
NEST:142	0.16747474526396156	3.6760104322294387e-25	0.15105481540616625	1.019942336481139e-20	1.1087017968519859
