term	gene	pc1_corr	pc1_corr_pval	rank
NEST:125	MLH1	0.3164	0.0000	4
NEST:125	MSH3	-0.2993	0.0000	5
NEST:125	PMS2	0.2962	0.0000	6
NEST:125	PMS1	-0.2732	0.0000	7
NEST:125	MSH2	-0.2555	0.0000	8
NEST:126	TP53	0.9027	0.0000	1
NEST:126	CREBBP	-0.3248	0.0000	2
NEST:126	EP300	0.1907	0.0000	3
NEST:126	KMT2A	-0.1579	0.0000	4
NEST:126	CTNNB1	-0.1002	0.0000	5
NEST:126	CHEK2	-0.0663	0.0000	6
NEST:126	TCF3	-0.0619	0.0001	7
NEST:127	TP53	0.9408	0.0000	1
NEST:127	MAP2K4	-0.1704	0.0000	2
NEST:127	PARP1	0.1541	0.0000	3
NEST:127	MAPK1	-0.1448	0.0000	4
NEST:127	DAXX	-0.1022	0.0000	5
NEST:127	CASP8	-0.0374	0.0215	6
NEST:127	XIAP	-0.0349	0.0321	7
NEST:129	ARID1A	0.5574	0.0000	1
NEST:129	ARID2	0.4489	0.0000	2
NEST:129	ARID1B	0.3541	0.0000	3
NEST:129	SMARCA4	0.3539	0.0000	4
NEST:129	PBRM1	-0.3096	0.0000	5
NEST:129	SOX2	0.2488	0.0000	6
NEST:129	SMARCD1	-0.1405	0.0000	7
NEST:129	SMARCB1	-0.1392	0.0000	8
NEST:13	CTCF	0.3564	0.0000	1
NEST:13	NSD2	0.3303	0.0000	2
NEST:13	FOXL2	-0.3235	0.0000	3
NEST:13	EIF4A2	-0.3225	0.0000	4
NEST:13	HRAS	0.2999	0.0000	5
NEST:13	DIS3	-0.2892	0.0000	6
NEST:13	EIF1AX	0.2768	0.0000	7
NEST:13	CHEK2	0.2673	0.0000	8
NEST:13	SHQ1	-0.2478	0.0000	9
NEST:13	CSDE1	0.2417	0.0000	10
NEST:130	CHEK1	0.0974	0.0000	1
NEST:132	TP53	0.8506	0.0000	1
NEST:132	MYC	-0.3986	0.0000	2
NEST:132	RB1	0.3557	0.0000	3
NEST:132	ERBB3	0.2585	0.0000	4
NEST:132	ERBB4	0.1524	0.0000	5
NEST:132	IGF2	0.1015	0.0000	6
NEST:132	EGFR	0.0880	0.0000	7
NEST:133	KMT2D	-0.5261	0.0000	1
NEST:133	KMT2A	-0.4953	0.0000	2
NEST:133	EP300	0.3394	0.0000	3
NEST:133	MEN1	0.3309	0.0000	4
NEST:133	KMT2B	-0.2950	0.0000	5
NEST:133	KDM6A	-0.2774	0.0000	6
NEST:134	ATM	0.5533	0.0000	1
NEST:134	BRCA1	0.5131	0.0000	2
NEST:134	ATR	-0.4508	0.0000	3
NEST:134	BLM	-0.3806	0.0000	4
NEST:134	TP53BP1	0.1927	0.0000	5
NEST:137	AKT1	0.6380	0.0000	1
NEST:137	RPTOR	0.4173	0.0000	2
NEST:137	MTOR	-0.3434	0.0000	3
NEST:137	RICTOR	0.3168	0.0000	4
NEST:137	MAPK3	-0.2610	0.0000	5
NEST:137	MAPK1	0.2527	0.0000	6
NEST:137	MAPKAP1	0.1946	0.0000	7
NEST:138	PTEN	-0.6589	0.0000	1
NEST:138	AKT1	0.5478	0.0000	2
NEST:138	PIK3CD	0.2290	0.0000	3
NEST:138	AKT2	-0.2178	0.0000	4
NEST:138	AKT3	-0.2160	0.0000	5
NEST:138	PIK3CB	0.1560	0.0000	6
NEST:14	ESR1	-0.5321	0.0000	1
NEST:14	CDH1	-0.3625	0.0000	2
NEST:14	PIK3CA	0.3056	0.0000	3
NEST:14	PAK1	-0.2932	0.0000	4
NEST:14	PIK3R1	-0.2166	0.0000	5
NEST:14	EGFR	0.2004	0.0000	6
NEST:14	RHOA	0.1918	0.0000	7
NEST:14	RAC2	-0.1568	0.0000	8
NEST:14	MAPK1	-0.1558	0.0000	9
NEST:14	CBL	-0.1345	0.0000	10
NEST:14	MAPK3	0.0768	0.0000	11
NEST:14	RRAS	-0.0502	0.0020	12
NEST:14	SOS1	0.0399	0.0142	13
NEST:14	CHEK2	-0.0310	0.0567	14
NEST:14	GNAS	-0.0279	0.0869	15
NEST:14	LATS1	0.0275	0.0914	16
NEST:14	GNA11	0.0137	0.3983	17
NEST:14	PREX2	0.0063	0.6973	18
NEST:14	NFE2L2	0.0056	0.7330	19
NEST:142	CDH1	0.8074	0.0000	1
NEST:142	EGFR	-0.2834	0.0000	2
NEST:142	FYN	-0.2534	0.0000	3
NEST:142	CBL	0.2450	0.0000	4
NEST:142	APC	0.2390	0.0000	5
NEST:142	CTNNB1	0.2047	0.0000	6
NEST:145	AKT1	-0.7044	0.0000	1
NEST:145	RPTOR	-0.4499	0.0000	2
NEST:145	MTOR	0.3627	0.0000	3
NEST:145	RICTOR	-0.3278	0.0000	4
NEST:145	MAPKAP1	0.2305	0.0000	5
NEST:146	CREBBP	0.6972	0.0000	1
NEST:146	SMAD4	-0.5350	0.0000	2
NEST:146	SMAD3	0.2832	0.0000	3
NEST:146	TGFBR1	0.2596	0.0000	4
NEST:146	SMAD2	0.1657	0.0000	5
NEST:15	KDM5A	0.1042	0.0000	1
NEST:15	SOX2	0.0895	0.0000	2
NEST:15	DNMT3B	-0.0738	0.0000	3
NEST:15	STAT3	-0.0714	0.0000	4
NEST:15	BRD4	0.0577	0.0004	5
NEST:15	EED	0.0408	0.0122	6
NEST:15	RAD54L	0.0355	0.0290	7
NEST:15	DNMT3A	0.0287	0.0779	8
NEST:15	FANCC	-0.0178	0.2739	9
NEST:15	SMARCB1	-0.0129	0.4289	10
NEST:15	ARID1A	-0.0104	0.5224	11
NEST:150	TP53	0.7784	0.0000	1
NEST:150	CDKN2A	-0.3708	0.0000	2
NEST:150	CDKN2B	0.2974	0.0000	3
NEST:150	CCNE1	-0.2436	0.0000	4
NEST:150	CDK4	-0.2275	0.0000	5
NEST:150	CCND1	0.2223	0.0000	6
NEST:150	CDKN1B	-0.2049	0.0000	7
NEST:150	CDKN1A	0.1558	0.0000	8
NEST:150	CCND2	0.1375	0.0000	9
NEST:150	CDK6	-0.1275	0.0000	10
NEST:150	CCND3	-0.1145	0.0000	11
NEST:153	ERBB2	-0.7109	0.0000	1
NEST:153	PIK3R1	-0.3002	0.0000	2
NEST:153	PIK3R2	-0.2754	0.0000	3
NEST:153	EGFR	0.2586	0.0000	4
NEST:153	CBL	-0.2331	0.0000	5
NEST:153	SOCS1	-0.2328	0.0000	6
NEST:153	CTNNB1	-0.1915	0.0000	7
NEST:153	MET	0.1530	0.0000	8
NEST:153	ABL1	-0.1390	0.0000	9
NEST:153	CRKL	0.0774	0.0000	10
NEST:16	FGF19	0.7521	0.0000	1
NEST:16	SOX17	-0.4040	0.0000	2
NEST:16	RET	-0.1792	0.0000	3
NEST:16	ARID5B	-0.1575	0.0000	4
NEST:16	EPCAM	-0.0766	0.0000	5
NEST:16	PREX2	0.0060	0.7115	6
NEST:168	AKT1	-0.4372	0.0000	1
NEST:168	CREBBP	-0.4307	0.0000	2
NEST:168	CDKN1B	-0.3760	0.0000	3
NEST:168	RARA	-0.3617	0.0000	4
NEST:168	AR	0.3153	0.0000	5
NEST:168	SMAD4	-0.2943	0.0000	6
NEST:168	EP300	0.2872	0.0000	7
NEST:168	SMARCB1	-0.1329	0.0000	8
NEST:168	VHL	-0.1297	0.0000	9
NEST:169	PTEN	0.7339	0.0000	1
NEST:169	AKT1	-0.4546	0.0000	2
NEST:169	EGFR	0.3091	0.0000	3
NEST:169	NF2	-0.2432	0.0000	4
NEST:169	CTNNB1	-0.1961	0.0000	5
NEST:17	TP53	0.8254	0.0000	1
NEST:17	EP300	0.1771	0.0000	2
NEST:17	MDM2	0.1498	0.0000	3
NEST:17	EIF1AX	0.1063	0.0000	4
NEST:17	HRAS	-0.0834	0.0000	5
NEST:17	CTCF	0.0439	0.0070	6
NEST:17	CHEK2	-0.0392	0.0159	7
NEST:17	TERT	0.0373	0.0217	8
NEST:174	AKT1	0.6578	0.0000	1
NEST:174	AXIN2	-0.5031	0.0000	2
NEST:174	APC	0.3744	0.0000	3
NEST:174	CTNNB1	0.2489	0.0000	4
NEST:174	AXIN1	0.2331	0.0000	5
NEST:174	GSK3B	-0.1800	0.0000	6
NEST:18	GATA3	-0.7740	0.0000	1
NEST:18	CARD11	0.2242	0.0000	2
NEST:18	BIRC3	-0.2086	0.0000	3
NEST:18	CD274	0.2066	0.0000	4
NEST:18	JAK3	0.1926	0.0000	5
NEST:18	PDCD1LG2	0.1846	0.0000	6
NEST:18	IKZF1	0.1836	0.0000	7
NEST:18	IL7R	-0.1450	0.0000	8
NEST:18	PDCD1	0.1423	0.0000	9
NEST:18	IRF4	-0.1414	0.0000	10
NEST:18	FLT3	0.1282	0.0000	11
NEST:18	PHOX2B	0.1028	0.0000	12
NEST:18	CXCR4	0.0963	0.0000	13
NEST:18	B2M	-0.0918	0.0000	14
NEST:18	TNFRSF14	0.0793	0.0000	15
NEST:18	CD79A	-0.0722	0.0000	16
NEST:18	TAP2	-0.0499	0.0022	17
NEST:18	CD79B	-0.0346	0.0333	18
NEST:182	ERBB2	-0.8483	0.0000	1
NEST:182	EGFR	0.2894	0.0000	2
NEST:182	APC	-0.2608	0.0000	3
NEST:182	TCF7L2	-0.2011	0.0000	4
NEST:182	CTNNB1	-0.1935	0.0000	5
NEST:186	TP53	-0.8542	0.0000	1
