term	gene	pc1_corr	pc1_corr_pval	rank
NEST:52	AKT2	-0.0189	0.2444	20
NEST:52	PIK3CB	-0.0075	0.6450	21
NEST:53	MYC	-0.7361	0.0000	1
NEST:53	AKT1	-0.3977	0.0000	2
NEST:53	PPP2R1A	-0.2999	0.0000	3
NEST:53	BRAF	0.2438	0.0000	4
NEST:53	ARAF	0.2256	0.0000	5
NEST:53	RAF1	-0.1247	0.0000	6
NEST:53	PPP4R2	0.1242	0.0000	7
NEST:53	PPP6C	0.0709	0.0000	8
NEST:55	TP53	0.9091	0.0000	1
NEST:55	CREBBP	-0.2253	0.0000	2
NEST:55	RUNX1	-0.1983	0.0000	3
NEST:55	PARP1	0.1518	0.0000	4
NEST:55	PALB2	0.1416	0.0000	5
NEST:55	DNMT1	0.1375	0.0000	6
NEST:55	EZH2	0.0755	0.0000	7
NEST:57	MYC	-0.7752	0.0000	1
NEST:57	KDM5A	0.3673	0.0000	2
NEST:57	TERT	0.2718	0.0000	3
NEST:57	PALB2	0.2520	0.0000	4
NEST:57	UPF1	-0.1783	0.0000	5
NEST:57	MYCN	-0.1778	0.0000	6
NEST:57	MYCL	0.1601	0.0000	7
NEST:57	MAX	-0.1461	0.0000	8
NEST:58	RB1	-0.2202	0.0000	1
NEST:58	MDM2	-0.1400	0.0000	2
NEST:58	E2F3	0.0059	0.7149	3
NEST:59	AURKA	0.7561	0.0000	1
NEST:59	NUF2	-0.3927	0.0000	2
NEST:59	RAD51	0.3047	0.0000	3
NEST:59	CHEK1	-0.2940	0.0000	4
NEST:59	AURKB	-0.2817	0.0000	5
NEST:6	NCOR1	0.1264	0.0000	1
NEST:6	ATM	-0.0874	0.0000	2
NEST:6	ATR	0.0863	0.0000	3
NEST:6	DOT1L	0.0852	0.0000	4
NEST:6	ERCC5	-0.0768	0.0000	5
NEST:6	PPP2R1A	-0.0644	0.0001	6
NEST:6	ASXL1	-0.0437	0.0072	7
NEST:6	ERCC3	-0.0401	0.0138	8
NEST:6	BAP1	-0.0302	0.0636	9
NEST:6	ANKRD11	-0.0284	0.0813	10
NEST:6	MSH3	0.0226	0.1658	11
NEST:6	LATS1	0.0144	0.3751	12
NEST:6	ERCC2	-0.0116	0.4773	13
NEST:6	WT1	0.0070	0.6667	14
NEST:6	TP53BP1	0.0070	0.6654	15
NEST:6	EZH1	0.0023	0.8897	16
NEST:60	NCOR1	-0.5260	0.0000	1
NEST:60	ANKRD11	-0.3767	0.0000	2
NEST:60	CREBBP	0.3760	0.0000	3
NEST:60	RARA	0.3630	0.0000	4
NEST:60	NCOA3	0.2780	0.0000	5
NEST:60	GPS2	-0.2556	0.0000	6
NEST:60	BCL6	0.2463	0.0000	7
NEST:60	CEBPA	-0.1777	0.0000	8
NEST:60	PGR	-0.1751	0.0000	9
NEST:60	RXRA	-0.0979	0.0000	10
NEST:61	ELOC	-0.5569	0.0000	1
NEST:61	MDM2	0.5377	0.0000	2
NEST:61	STK11	0.3347	0.0000	3
NEST:61	TET2	-0.2880	0.0000	4
NEST:61	NF2	-0.2877	0.0000	5
NEST:61	VHL	-0.2168	0.0000	6
NEST:61	DCUN1D1	0.1949	0.0000	7
NEST:61	CUL3	-0.1629	0.0000	8
NEST:65	CDKN2A	0.3078	0.0000	1
NEST:65	MYC	0.2954	0.0000	2
NEST:65	CCND1	-0.2721	0.0000	3
NEST:65	CCNE1	0.2163	0.0000	4
NEST:65	CDKN1B	0.2017	0.0000	5
NEST:65	BRCA1	0.1876	0.0000	6
NEST:65	PARP1	-0.1867	0.0000	7
NEST:65	TP63	-0.1826	0.0000	8
NEST:65	CREBBP	0.1441	0.0000	9
NEST:65	EP300	-0.1386	0.0000	10
NEST:7	FGF19	0.9121	0.0000	1
NEST:7	ICOSLG	-0.1818	0.0000	2
NEST:7	GATA1	0.1789	0.0000	3
NEST:7	HGF	-0.1689	0.0000	4
NEST:7	HNF1A	-0.1391	0.0000	5
NEST:7	INHA	0.1295	0.0000	6
NEST:7	CD276	0.0792	0.0000	7
NEST:70	TP53	-0.8277	0.0000	1
NEST:70	BRCA1	0.2745	0.0000	2
NEST:70	BARD1	-0.1889	0.0000	3
NEST:70	CBL	0.1829	0.0000	4
NEST:70	MDM2	-0.1602	0.0000	5
NEST:70	MDM4	-0.1506	0.0000	6
NEST:70	BIRC3	0.1360	0.0000	7
NEST:70	EGFR	-0.0952	0.0000	8
NEST:70	CHEK2	-0.0410	0.0118	9
NEST:70	XIAP	0.0303	0.0624	10
NEST:73	AKT1	0.2597	0.0000	1
NEST:73	MDM4	-0.2554	0.0000	2
NEST:73	CDKN1B	0.2317	0.0000	3
NEST:73	EGFR	-0.1622	0.0000	4
NEST:73	CBL	0.1463	0.0000	5
NEST:73	TSC1	0.1243	0.0000	6
NEST:73	TSC2	0.1073	0.0000	7
NEST:73	ABL1	0.0306	0.0602	8
NEST:77	ELOC	-0.7082	0.0000	1
NEST:77	STK11	0.4429	0.0000	2
NEST:77	FBXW7	0.3272	0.0000	3
NEST:77	VHL	-0.2723	0.0000	4
NEST:77	DCUN1D1	0.2627	0.0000	5
NEST:77	CUL3	-0.2336	0.0000	6
NEST:78	NF1	0.4897	0.0000	1
NEST:78	CDK12	-0.4731	0.0000	2
NEST:78	NSD3	0.3942	0.0000	3
NEST:78	MGA	-0.2307	0.0000	4
NEST:78	NSD1	0.2114	0.0000	5
NEST:78	SPEN	-0.1945	0.0000	6
NEST:78	GATA1	-0.1677	0.0000	7
NEST:78	SETD2	0.1654	0.0000	8
NEST:78	ATRX	-0.1451	0.0000	9
NEST:78	ASXL2	-0.0832	0.0000	10
NEST:79	ATM	-0.1711	0.0000	1
NEST:79	MDM2	0.1143	0.0000	2
NEST:79	MDC1	-0.0871	0.0000	3
NEST:79	MSH6	-0.0699	0.0000	4
NEST:79	AURKA	0.0679	0.0000	5
NEST:79	FANCA	0.0586	0.0003	6
NEST:79	RAD50	-0.0584	0.0003	7
NEST:79	PALB2	0.0537	0.0010	8
NEST:79	RAD51B	0.0522	0.0013	9
NEST:79	BRIP1	-0.0388	0.0172	10
NEST:79	MRE11	0.0381	0.0191	11
NEST:79	CDC73	-0.0375	0.0212	12
NEST:79	NBN	-0.0207	0.2044	13
NEST:79	RAD51D	-0.0073	0.6541	14
NEST:8	JAK2	-0.2446	0.0000	1
NEST:8	NTRK3	0.2266	0.0000	2
NEST:8	PRDM1	-0.1972	0.0000	3
NEST:8	PIK3CG	-0.1787	0.0000	4
NEST:8	IKBKE	0.1540	0.0000	5
NEST:8	FOXP1	-0.1236	0.0000	6
NEST:8	PLCG2	0.1200	0.0000	7
NEST:8	TNFAIP3	-0.0827	0.0000	8
NEST:8	STAT5A	-0.0668	0.0000	9
NEST:8	CYSLTR2	0.0551	0.0007	10
NEST:8	NFKBIA	-0.0532	0.0011	11
NEST:8	NKX2-1	-0.0372	0.0221	12
NEST:8	CYLD	0.0355	0.0290	13
NEST:8	AXL	0.0248	0.1280	14
NEST:8	CSF3R	-0.0155	0.3414	15
NEST:8	HGF	-0.0085	0.6033	16
NEST:80	NOTCH4	0.4327	0.0000	1
NEST:80	FLT1	-0.3691	0.0000	2
NEST:80	TEK	-0.3615	0.0000	3
NEST:80	KDR	0.3600	0.0000	4
NEST:80	ERG	0.3287	0.0000	5
NEST:80	VEGFA	0.3039	0.0000	6
NEST:80	FLT4	0.2569	0.0000	7
NEST:80	SH2B3	0.0154	0.3443	8
NEST:81	PTEN	-0.8444	0.0000	1
NEST:81	SMAD4	0.3796	0.0000	2
NEST:81	SMAD3	0.1482	0.0000	3
NEST:81	TGFBR1	0.1438	0.0000	4
NEST:81	TGFBR2	0.1224	0.0000	5
NEST:81	SMAD2	-0.1156	0.0000	6
NEST:82	MGA	-0.6717	0.0000	1
NEST:82	EZH2	0.4343	0.0000	2
NEST:82	EED	-0.4211	0.0000	3
NEST:82	BCOR	0.2866	0.0000	4
NEST:82	RYBP	-0.0449	0.0058	5
NEST:83	TP53	0.9434	0.0000	1
NEST:83	CASP8	-0.1666	0.0000	2
NEST:83	PARP1	0.1565	0.0000	3
NEST:83	TNFAIP3	-0.1077	0.0000	4
NEST:83	BIRC3	-0.0899	0.0000	5
NEST:83	TRAF2	0.0836	0.0000	6
NEST:83	MAP3K14	0.0232	0.1532	7
NEST:84	PIK3R1	0.3803	0.0000	1
NEST:84	STAT3	0.3034	0.0000	2
NEST:84	JAK3	-0.2855	0.0000	3
NEST:84	IRS2	0.2643	0.0000	4
NEST:84	SOCS1	-0.2113	0.0000	5
NEST:84	STAT5A	0.1849	0.0000	6
NEST:84	STAT5B	0.1255	0.0000	7
NEST:84	CSF3R	0.0852	0.0000	8
NEST:85	TP53	-0.8235	0.0000	1
NEST:85	MYC	0.3924	0.0000	2
NEST:85	CREBBP	0.2857	0.0000	3
NEST:85	AR	-0.2132	0.0000	4
NEST:85	EP300	-0.1903	0.0000	5
NEST:85	RUNX1	0.1814	0.0000	6
NEST:85	BCL6	0.1171	0.0000	7
NEST:85	TERT	-0.0613	0.0002	8
NEST:89	ERBB2	0.5720	0.0000	1
NEST:89	ERBB3	-0.3072	0.0000	2
NEST:89	STAT3	0.2264	0.0000	3
NEST:89	ERBB4	-0.2263	0.0000	4
NEST:89	PIK3R1	0.2161	0.0000	5
NEST:89	CBL	0.1958	0.0000	6
NEST:89	EGFR	-0.1889	0.0000	7
NEST:89	INPPL1	0.1787	0.0000	8
NEST:89	PLCG2	-0.1613	0.0000	9
NEST:89	RET	0.1560	0.0000	10
NEST:89	PDGFRA	-0.1273	0.0000	11
NEST:89	STAT5A	0.1175	0.0000	12
NEST:89	CSF3R	0.0420	0.0099	13
NEST:9	CDK8	0.2460	0.0000	1
NEST:9	UPF1	-0.2432	0.0000	2
NEST:9	VHL	-0.2197	0.0000	3
NEST:90	ESR1	-0.7943	0.0000	1
NEST:90	RARA	-0.4397	0.0000	2
NEST:90	MED12	0.3294	0.0000	3
NEST:90	CDK8	0.1654	0.0000	4
NEST:90	FBXW7	0.1425	0.0000	5
NEST:91	TP53	-0.5770	0.0000	1
NEST:91	CCND1	-0.4553	0.0000	2
NEST:91	MYC	0.3296	0.0000	3
NEST:91	CDKN2A	0.3035	0.0000	4
NEST:91	RB1	-0.2574	0.0000	5
NEST:91	CCNE1	0.2409	0.0000	6
NEST:91	BRCA1	0.2359	0.0000	7
NEST:91	CDKN1B	0.2031	0.0000	8
NEST:91	CREBBP	0.1637	0.0000	9
NEST:91	EP300	-0.1623	0.0000	10
NEST:91	CDKN1A	-0.1194	0.0000	11
NEST:91	CTNNB1	0.0923	0.0000	12
NEST:92	MYC	-0.6407	0.0000	1
NEST:97	PTPRD	0.5496	0.0000	1
NEST:97	PTPRS	-0.4619	0.0000	2
NEST:97	EPHB1	0.3625	0.0000	3
NEST:97	EPHA5	0.3623	0.0000	4
NEST:97	EPHA3	-0.3346	0.0000	5
NEST:97	EPHA7	0.2406	0.0000	6
NEST:98	KMT2C	-0.3977	0.0000	1
NEST:98	CTNNB1	-0.1349	0.0000	2
